[
	[0, -38.509567, -13.006105],
	[1, -38.531029, -13.004683],
	[2, -38.510082, -12.976519],
	[3, -38.482792, -12.988751],
	[4, -38.512207, -12.979781],
	[5, -38.513348, -12.98733],
	[6, -38.492188, -13.010244],
	[7, -38.471718, -13.011917],
	[8, -38.437344, -12.986075],
	[9, -38.431335, -12.979677],
	[10, -38.370781, -12.944672],
	[11, -38.432751, -12.98256],
	[12, -38.473518, -12.990505],
	[13, -38.466827, -12.984901],
	[14, -38.459187, -13.006729],
	[15, -38.464508, -13.010158],
	[16, -38.454552, -12.99728],
	[17, -38.455067, -13.002465],
	[18, -38.46133, -13.008487],
	[19, -38.50914, -13.010661],
	[20, -38.524158, -13.008653],
	[21, -38.520042, -12.986992],
	[22, -38.494465, -12.975199],
	[23, -38.421421, -12.970934],
	[24, -38.440559, -12.973861],
	[25, -38.438931, -12.975116],
	[26, -38.438759, -12.969847],
	[27, -38.361938, -12.93505],
	[28, -38.338337, -12.935134],
	[29, -38.319366, -12.894141],
	[30, -38.408978, -12.899327],
	[31, -38.526879, -13.001678],
	[32, -38.523188, -12.995239],
	[33, -38.506537, -12.961114],
	[34, -38.43768, -12.905506],
	[35, -38.483342, -12.89396],
	[36, -38.491925, -12.913035],
	[37, -38.493856, -12.925877],
	[38, -38.465145, -12.834885],
	[39, -38.2631, -12.838902],
	[40, -38.386353, -12.781822],
	[41, -38.355668, -12.911488],
	[42, -38.365882, -12.913747],
	[43, -38.419441, -12.910735],
	[44, -38.405879, -12.888815],
	[45, -38.392146, -12.891827],
	[46, -38.359788, -12.916842],
	[47, -38.388949, -12.930624],
	[48, -38.409077, -12.937693],
	[49, -38.488191, -12.943779],
	[50, -38.512696, -12.930436]
]
