[
	[0, -38.509567, -13.006105],
	[1, -38.531029, -13.004683],
	[2, -38.510082, -12.976519],
	[3, -38.482792, -12.988751],
	[4, -38.512207, -12.979781],
	[5, -38.513348, -12.98733],
	[6, -38.492188, -13.010244],
	[7, -38.471718, -13.011917],
	[8, -38.437344, -12.986075],
	[9, -38.431335, -12.979677],
	[10, -38.370781, -12.944672],
	[11, -38.432751, -12.98256],
	[12, -38.473518, -12.990505],
	[13, -38.466827, -12.984901],
	[14, -38.459187, -13.006729],
	[15, -38.464508, -13.010158],
	[16, -38.454552, -12.99728],
	[17, -38.455067, -13.002465],
	[18, -38.46133, -13.008487],
	[19, -38.50914, -13.010661],
	[20, -38.524158, -13.008653],
	[21, -38.520042, -12.986992],
	[22, -38.494465, -12.975199],
	[23, -38.421421, -12.970934],
	[24, -38.440559, -12.973861],
	[25, -38.438931, -12.975116],
	[26, -38.438759, -12.969847],
	[27, -38.361938, -12.93505],
	[28, -38.338337, -12.935134],
	[29, -38.319366, -12.894141],
	[30, -38.408978, -12.899327],
	[31, -38.526879, -13.001678],
	[32, -38.523188, -12.995239],
	[33, -38.506537, -12.961114],
	[34, -38.43768, -12.905506],
	[35, -38.483342, -12.89396],
	[36, -38.491925, -12.913035],
	[37, -38.493856, -12.925877],
	[38, -38.465145, -12.834885],
	[39, -38.2631, -12.838902],
	[40, -38.386353, -12.781822],
	[41, -38.355668, -12.911488],
	[42, -38.365882, -12.913747],
	[43, -38.419441, -12.910735],
	[44, -38.405879, -12.888815],
	[45, -38.392146, -12.891827],
	[46, -38.359788, -12.916842],
	[47, -38.388949, -12.930624],
	[48, -38.409077, -12.937693],
	[49, -38.488191, -12.943779],
	[50, -38.512696, -12.930436],
	[51, -38.497182, -12.912115],
	[52, -38.478385, -12.928679],
	[53, -38.500615, -12.929056],
	[54, -38.485208, -12.963415],
	[55, -38.489157, -12.948484],
	[56, -38.465038, -12.969395],
	[57, -38.434568, -12.941457],
	[58, -38.413411, -12.926525],
	[59, -38.401824, -12.910881],
	[60, -38.403197, -12.936731],
	[61, -38.408132, -12.931294],
	[62, -38.393842, -12.937693],
	[63, -38.393498, -12.946602],
	[64, -38.39088, -12.932088],
	[65, -38.376161, -12.932297],
	[66, -38.372041, -12.924768],
	[67, -38.37556, -12.924936],
	[68, -38.376461, -12.927989],
	[69, -38.436199, -12.962955],
	[70, -38.44431, -12.956054],
	[71, -38.422552, -12.976421],
	[72, -38.414269, -12.973201],
	[73, -38.455254, -13.005484],
	[74, -38.458472, -12.990012],
	[75, -38.460017, -12.985663],
	[76, -38.460017, -12.98169],
	[77, -38.46418, -12.988799],
	[78, -38.458, -12.986415],
	[79, -38.455211, -12.983614],
	[80, -38.450061, -12.944887],
	[81, -38.444525, -12.940203],
	[82, -38.454309, -12.9374],
	[83, -38.310007, -12.915467],
	[84, -38.291982, -12.878655],
	[85, -38.325027, -12.933537],
	[86, -38.323224, -12.931613],
	[87, -38.490079, -13.012326],
	[88, -38.480273, -13.008787],
	[89, -38.481174, -13.0054],
	[90, -38.518639, -13.003936],
	[91, -38.516622, -13.007114],
	[92, -38.527437, -12.996201],
	[93, -38.529325, -13.007742],
	[94, -38.497396, -12.997831],
	[95, -38.512846, -12.994444],
	[96, -38.483685, -12.968585],
	[97, -38.486432, -12.971596],
	[98, -38.469695, -12.853385],
	[99, -38.352621, -12.955119],
	[100, -38.409441, -12.948092]
]
